AC-Supply	RC-Supply	Total
0	7	0.353944544
0	8	0.290257918
1	6	0.34257919
1	8	0.39724104
1	11	0.518849521
2	3	0.29061109
2	4	0.378298823
2	8	0.462225179
2	9	0.571473099
3	3	0.316451056
3	5	0.441681637
3	12	0.706440131
4	7	0.592229147
4	8	0.668243659
4	11	0.786585298
5	3	0.467315354
5	6	0.709651935
5	13	0.876288708
5	15	0.923932882
6	2	0.577013776
6	3	0.56227162
6	12	0.89387339
7	1	0.575226827
7	4	0.597366133
7	9	0.840845889
7	11	0.920962668
8	3	0.695241283
8	8	0.913048969
8	12	0.94290986
9	4	0.601671403
9	6	0.849695586
9	11	0.994671133
9	12	0.990560292
10	3	0.835806697
10	12	0.978310502
10	13	1
10	14	1
11	0	0.7825653
11	4	0.89318489
11	9	1
11	12	1
12	2	0.861296272
12	4	0.908295282
12	7	0.951026563
12	8	1
13	3	0.883247636
13	8	1
13	10	1
13	12	1
14	3	0.96122522
14	6	1
14	7	1
14	11	1
15	4	0.994292237
15	7	1
15	9	1
15	12	1
16	7	1
16	8	1
16	9	1
